Artists,Counter
Billie Eilish,3
Khalid,1
Tom Odell,2
Coldplay,3
Conan Gray,1
Alec Benjamin,1
Olivia Rodrigo,2
Ed Sheeran,1
Seafret,1
The Fray,4
Christina Perri,1
Lizzy McAlpine,1
Harry Styles,1
Fleetwood Mac,1
Bruno Mars,1
Sasha Alex Sloan,1
James Arthur,5
SLANDER,1
Dylan Matthew,1
Dean Lewis,2
Duncan Laurence,1
gnash,1
Olivia O'Brien,1
Myles Smith,1
JP Saxe,2
Julia Michaels,1
The Cinematic Orchestra,2
Patrick Watson,1
X Ambassadors,1
Beyoncé,2
Celeste,1
Air Supply,2
ZAYN,1
Sia,1
Birdy,2
Alex & Sierra,1
Alex Warren,1
Lewis Capaldi,4
M83,1
The Script,1
The Kid LAROI,1
James Blunt,1
Dylan Conrique,1
Sam Smith,1
MIIA,1
James Bay,2
The 1975,1
One Direction,1
Jess Glynne,1
Joel Adams,1
Leona Lewis,1
Labrinth,2
Emeli Sandé,1
Ruth B.,2
LANY,1
RHODES,1
Laufey,1
Jasmine Thompson,1
Clinton Kane,2
Zara Larsson,1
Chasing Grace,1
benny blanco,1
Gracie Abrams,1
Jason Mraz,1
Michael Schulte,1
FLETCHER,1
Andrew Belle,1
Tate McRae,2
Jorja Smith,1
Ella Eyre,1
Astrid S,1
Justin Bieber,1
James Vincent McMorrow,1
Amber Run,2
Ella Henderson,1
Charlene Soraia,1
Jeremy Zucker,1
Tom Walker,1
Zoe Wees,1
James Blake,1
shy martin,1
Maisie Peters,1
Eden Project,1
Regina Spektor,1
Noah Cyrus,1
