Free Genre,Counter
indie,15
 alternative r & b,1
 vapor soul,1
 electropop,6
 indie poptimism,4
 art pop,1
 indie pop,2
 pop,13
 rock,4
 indie folk,4
 auteur compositeur interprete,1
 alt z,3
 indie electropop,3
 singer songwriter,2
indiecoustica,1
 roots worship,1
 acoustic pop,2
 indie,1
pop rock,3
 acoustic cover,1
 channel pop,3
 post teen pop,2
 viral pop,2
 neo mellow,4
rebel blues,1
 bossbeat,1
 shimmer pop,1
 chillwave,1
 indie rock,1
dance pop,1
 r & b,1
indie folk,1
 pop folk,1
 new americana,1
contemporary country,1
 country road,1
 black americana,1
 dance pop,1
 mundart,1
social media pop,1
pop r & b,1
 alternative ccm,1
 indiecoustica,3
 anthem worship,1
 stomp and holler,2
indie poptimism,1
 hopebeat,1
new age,1
 string folk,1
 celtic,1
indie triste,1
anthem worship,1
 world worship,2
pop,2
 deep new americana,1
 canadian folk,1
alt z,2
new wave pop,1
 disco,1
 soft rock,1
viral pop,2
 lds youth,1
 acoustic chill,1
pop edm,1
 tropical house,1
 pop dance,1
 future bass,1
 edm,1
 alternative rock,1
 music,1
 folk pop,1
