Artists,Counter
Klaus Badelt,2
Hans Zimmer,15
John Williams,18
Lisa Gerrard,2
Gavin Greenaway,4
The Lyndhurst Orchestra,2
Bruce Fowler,1
Yvonne S. Moriarty,1
Walt Fowler,1
Ladd McIntosh,1
Elizabeth Finch,1
Jack Smalley,1
Yann Tiersen,1
Howard Shore,2
Danny Elfman,2
Alan Silvestri,4
London Symphony Orchestra,7
James Newton Howard,2
London Voices,1
James Horner,5
Ennio Morricone,4
The Outatime Orchestra,1
Lebo M.,1
Nino Rota,3
Simone Pedroni,1
Richard Harvey,1
Joe Hisaishi,1
Royal Philharmonic Orchestra,2
John Powell,1
Jóhann Jóhannsson,1
Juan Garcia Herreros,1
Aleksandra Suklar,1
Odessa Orchestra & Friends,1
Jonny Greenwood,2
Alexandre Desplat,3
Herman Hupfeld,1
Itzhak Perlman,4
Boston Pops Orchestra,3
Edward Ross,1
Monty Norman,1
John Barry Orchestra,1
Cinematic Symphony Orchestra,1
Michael Giacchino,2
Ludwig Göransson,1
Percy Faith & His Orchestra,1
Christophe Beck,1
Henry Mancini,2
Max Steiner,1
Justin Hurwitz,2
Jerry Goldsmith,1
Don Davis,1
Francis Lai,1
Christian Gaubert,1
John Barry,2
Richard Armitage,1
The Dwarf Cast,1
Clint Mansell,1
Kronos Quartet,1
The City of Prague Philharmonic Orchestra,2
Ryuichi Sakamoto,2
Craig Armstrong,1
Paul Bateman,1
Vangelis,3
Ron Goodwin,2
Rumon Gamba,2
BBC Philharmonic,2
Boston Symphony Orchestra,1
Steve Jablonsky,2
London Philharmonic Orchestra,2
Riccardo Muti,1
Massimo Colombo,1
Filarmonica della Scala,1
Milan La Scala Philharmonic Orchestra,1
Dario Marianelli,2
Jean-Yves Thibaudet,2
Thomas Newman,5
Bernard Herrmann,1
Hildur Guðnadóttir,1
Isobel Waller-Bridge,1
David Schweitzer,1
Maurice Jarre,2
Nicholas Britell,1
Michel Legrand,1
The Flemish Radio Orchestra,1
Nicholas Hooper,1
Rachel Portman,2
Pandemic Records,1
Peter Gregson,1
Henry Jackman,1
Gustavo Santaolalla,1
Elmer Bernstein,1
Brian Tyler,1
Eric Coates,1
Slovak Radio Symphony Orchestra,1
Yo-Yo Ma,1
Trevor Jones,1
Simon Franglen,1
The American Boychoir,1
Royal Philharmonic Orchestra;Tolga Kashif,1
Pinar Toprak,1
Steven Price,1
Michael Nyman,1
Cliff Martinez,1
Benjamin Wallfisch,1
English Chamber Orchestra,1
The Hollywood Studio Symphony,1
Orlando Pops Orchestra,1
Stephen Warbeck,1
Orchestra,1
Nick Ingman,1
Edda Dell'Orso,1
Jon Brion,1
