Free Genre,Counter
epicore,7
romanticism,1
 classical,7
 early romantic era,1
 orchestra,4
 classical era,1
new age,6
soundtrack,27
 scorecore,11
 video game music,9
orchestra,3
 modern classical,3
 compositional ambient,3
choir,1
 chamber choir,1
 choral,1
classic soundtrack,1
theme,1
 soundtrack,11
 classic soundtrack,8
 orchestral soundtrack,1
easy listening,5
 ballroom,2
 lounge,4
classical piano,1
 romantic classical,3
 orchestral,8
 trailer,4
instrumental,1
 ambient,1
violin,2
 impressionism,1
 post romantic era,1
lounge,1
 easy listening,2
 adult standards,4
 exotica,1
orchestral soundtrack,3
jazz orchestra,1
lds,1
instrumental soul,1
 southern soul,1
 soul,1
 instrumental funk,1
 funk,1
 memphis soul,1
 classic soul,1
psalmen,1
tibetan mantra,1
 meditation,1
 new age piano,4
 light music,2
minimalism,1
 modern performance,1
 bow pop,1
 contemporary classical,4
 post minimalism,1
military band,1
 bagpipe marching band,1
 marching band,1
classical,10
 opera,1
 romantic era,1
classic pop,1
synthwave,1
 dark synthpop,1
 early modern classical,2
 orchestral performance,1
 classical performance,1
instrumental worship,1
 downtempo,1
 epicore,1
indie,1
 alternative country,1
 roots rock,1
 neoclassicism,1
 classical guitar,1
