Song_Name,Song_Link,Artist_Name,Stream_Count,Release Date,Musical_Era,Voice_Presence,Predominant_Voice_Gender,Genre_Tags,Sub_Genre_Tags,Free Genre,Description,Instrument_Tags,Emotional_Profile,Mood_Tags,Simple_Mood_Tags,Character_Tags,Movement_Tags,Energy,BPM,Key,Meter
He's a Pirate,4AD2dterIUjNt1LFNI9Bvi,Klaus Badelt,209021417,2003-01-01,contemporary,high,male,ambient,,epicore,"action - packed, expressionist vintage orchestral themes and a great sense of electrifying excitement and heroism.","brassWoodwinds,percussion",negative,"powerful,intense,epic,heroic,strong,adventurous,courageous,exciting,fiery,agitated,relentless","energetic,aggressive,epic","epic,heroic,powerful","running,driving",high,69,dMinor,4/4
Time,6ZFbXIJkuI1dVNWvzJzown,Hans Zimmer,384802420,2010-07-09,contemporary,none,none,classical,,,emotional and heroic. piano and string orchestra,"strings,brassWoodwinds",balanced,"epic,powerful,heroic,determined,triumphant,victorious,passionate,courageous,adventurous,proud,prestigious,majestic,strong","energetic,epic","heroic,epic",pulsing,high,126,gMajor,4/4
Theme From Jurassic Park,2TZbQZXOuR8osP2AK8yYMN,John Williams,89599260,1993-05-25,late 1990s / early 2000s,none,none,classical,,"romanticism, classical, early romantic era, orchestra, classical era","broad, episodic theme building to finale.","brassWoodwinds,strings",positive,"majestic,optimistic,uplifting,proud,dignified",epic,heroic,flowing,medium,136,bbMajor,3/4
Cornfield Chase,6pWgRkpqVfxnj3WuIcJ7WP,Hans Zimmer,371008906,2014-11-18,late 2000s / contemporary,none,none,ambient,,,cinematic hybrid cue. soft emotional piano chords ring out in the introduction as synth arps build to a booming electrnoic drum beat and evolves to a grandiose high impact,"strings,brassWoodwinds",negative,"thoughtful,sad,emotional,bittersweet,reflective,nostalgic,solemn,blue,melancholic,lonely,spiritual,poignant,introspective,concerned","calm,epic,romantic,sad","sparkling,magical",flowing,low,95,aMinor,3/4
Now We Are Free,1ucCVtG5dKmgvCnXHAnhR9,"Lisa Gerrard, Klaus Badelt, Hans Zimmer, Gavin Greenaway, The Lyndhurst Orchestra, Bruce Fowler, Yvonne S. Moriarty, Walt Fowler, Ladd McIntosh, Elizabeth Finch, Jack Smalley",283474423,2000-01-01,late 1990s / early 2000s,high,female,ambient,,new age,"dreamy and panoramic. female voice, synth and rhythm.","synth,percussion",balanced,"uplifting,inspirational,positive,aweInspiring,optimistic",energetic,"heroic,ethereal,epic",flowing,medium,138,aMajor,4/4
"Comptine d'un autre été, l'après-midi",4O2N861eOnF9q8EtpH8IJu,Yann Tiersen,527496670,2001-04-23,early / mid 2000s,none,none,classical,,,flowing piano piece with a subtle tender feel,piano,negative,"hopeful,warm,emotional,romantic,solemn","calm,chilled,romantic,sad",warm,flowing,low,101,gMajor,4/4
Concerning Hobbits,644es5aYPJghtZLjM1rmSP,Howard Shore,128752817,2001-11-19,mid / late 1970s,none,none,classical,,,classical work in an authentic recording,strings,balanced,"warm,sweet,kind,contented,romantic,hopeful","calm,chilled,romantic",luxurious,flowing,low,104,dMajor,4/4
The Batman Theme,50csT5Qb2qOF7lHdDQ1Sbx,Danny Elfman,31293605,1989-08-08,late 1980s / early 1990s,high,female,classical,,,fast paced dramatic action,"strings,brassWoodwinds",balanced,"intense,exciting,relentless,fiery,agitated","energetic,epic","heroic,epic,powerful",stomping,high,73,dMinor,4/4
"The Avengers - From ""The Avengers""/Score",2exOqFZpfHpQE8E870qz1A,Alan Silvestri,136709999,2012-01-01,mid / late 2000s,high,female,"ambient,singerSongwriter,rock,classical,pop,jazz",,"soundtrack, scorecore, video game music","grandiose opening statement to noble, expansive theme, action and reprise to triumphant end.","brassWoodwinds,strings,percussion",balanced,"heroic,epic,adventurous,majestic,courageous,proud,powerful,triumphant,victorious,prestigious","epic,energetic","heroic,epic,powerful,magical","stomping,running,driving",high,119,gMinor,4/4
Raiders March,1YYKKW40noxJ8BNBODnriF,John Williams,24928337,2008-01-01,mid / late 1990s,none,none,classical,,"orchestra, classical, modern classical, compositional ambient",swashbuckling orchestral jaunt with multiple contrasting sections.,"brassWoodwinds,strings",balanced,"heroic,majestic,proud,energetic,powerful","epic,energetic","heroic,epic,powerful",stomping,high,66,dbMajor,4/4
"Flying Theme (From ""E.T. the Extra-Terrestrial"")",4J9mulgiRlkkgdAONNVGQv,"John Williams, London Symphony Orchestra",8507028,2014-08-18,early / mid 1980s,none,none,classical,,,theme 1 variation,"strings,brassWoodwinds",negative,"powerful,epic,determined,strong,heroic,resolute,courageous,victorious,adventurous,triumphant,passionate","dark,energetic,epic",heroic,"running,driving",high,78,cMajor,3/4
I'm Not a Hero,56pKYnSA0CyayMJWcEU5kH,"Hans Zimmer, James Newton Howard",25789841,2008-07-14,contemporary,none,none,"classical,ambient",,,mysterious and tense orchestral track for thriller and investigation with synth,"strings,brassWoodwinds",negative,"powerful,epic,determined,strong,adventurous,heroic,serious,courageous","dark,energetic,epic,scary","epic,powerful",stomping,high,130,gMinor,4/4
Episode I - Duel of The Fates,4oZwvVtLqXMdZLJnlQDlt1,"John Williams, London Symphony Orchestra, London Voices",127042114,1999,mid / late 1990s,high,male,classical,,"choir, classical, chamber choir, orchestra, choral, modern classical","powerful, epic choir and orchestra, building to dramatic climax.","brassWoodwinds,strings,percussion",balanced,"heroic,epic,adventurous,courageous,powerful","epic,energetic","epic,heroic,powerful","running,driving,stomping",high,80,eMinor,4/4
Pure spirits of the forest,1IFME3mAnOYVDv4I2gMUyd,James Horner,10998581,2009-12-07,contemporary,none,none,classical,,,epic and heroic action adventure. big brass melody with driving percussion,"strings,brassWoodwinds",negative,"solemn,serious,determined,passionate,epic","dark,epic,sad,scary","epic,heroic,powerful",stomping,high,98,cMinor,4/4
"The Good, The Bad And The Ugly - 2004 Remaster",1JSIWsJfxOji0FrxFcxdCK,Ennio Morricone,49723708,1967,mid / late 1970s,high,male,metal,blackMetal,classic soundtrack,"a dramatic, vintage orchestral track with a sense of surf - rock flavor.",,negative,"ominous,intense,mysterious,menacing,determined","energetic,dark,epic",heroic,stomping,high,117,fMajor,4/4
I'm Forrest... Forrest Gump,1ijrMIqQvZNsnoqGukPzFD,Alan Silvestri,79452217,1994-08-02,mid / late 2000s,none,none,classical,,,warm and tender theme featuring piano and strings,"strings,piano,bassGuitar,brassWoodwinds",balanced,"emotional,solemn,hopeful,romantic,thoughtful","calm,chilled,romantic,sad","warm,heroic,epic",flowing,low,70,bbMajor,3/4
Hedwig's Theme,1n8NKQRg8LVHy7oUhUgbFF,John Williams,85556201,2001-10-30,early / mid 1980s,none,none,classical,,,classical work in an authentic recording,"strings,brassWoodwinds",balanced,"prestigious,powerful,solemn,determined,serious","energetic,epic",magical,running,high,78,dMinor,4/4
