Free Genre,Counter
background piano,18
piano,120
neo-classical,51
ambient,36
 meditation,18
neo classical,16
background music,3
 focus,3
instrumental,38
new age,9
 background music,14
 chill out,19
 downtempo,19
 new age piano,1
 piano,8
 folk,2
 celtic,2
instrumental worship,3
 minimalism,7
 new age,12
 worship,7
 ambient,3
piano cover,1
meditation,5
 chill beats,4
 indian ambient,4
 relaxative,1
 jazz,4
jazz,1
lullaby,11
shush,1
lounge,1
 chill,1
classical,1
 soundtrack,1
soundtrack,1
video game music,1
percussion,1
louvor,1
 gospel,1
mallet,1
 percussion,1
 marimba,1
 children's music,1
 instrumental,1
 tropical house,2
