Artists,Counter
Dean Lewis,9
Tom Odell,2
Tom Rosenthal,1
Lewis Capaldi,9
Jaymes Young,1
Sam Smith,3
Adele,5
Mathew V,1
SYML,1
Kina,1
Snøw,1
Chord Overstreet,1
Sasha Alex Sloan,1
Sleeping At Last,1
Mitchy & André,1
David Kushner,3
Anson Seabra,2
Calum Scott,2
Rihanna,1
Mikky Ekko,1
Gracie Abrams,3
Noah Cyrus,3
Ella Henderson,1
Michael Schulte,1
sad alex,1
Olivia O'Brien,2
Ruth B.,2
RHODES,1
Birdy,6
The Cinematic Orchestra,1
Patrick Watson,1
A Great Big World,1
Christina Aguilera,1
James Arthur,6
Labrinth,2
Jess Glynne,1
Morgan Wallen,1
The Script,2
James Bay,2
OneRepublic,1
Coldplay,1
One Direction,3
The Fray,2
Michael Marcagi,1
Maroon 5,1
Daniel Powter,1
Kodaline,1
Lizzy McAlpine,1
Harry Styles,1
Bruno Mars,2
Kelly Clarkson,2
Lord Huron,1
Christina Perri,1
John Legend,1
Niall Horan,1
Florence + The Machine,1
Charlie Puth,1
NSH,1
maybealice,2
Passenger,1
Djo,1
Billie Eilish,2
Benson Boone,1
SUGAR RUSH,1
Zach Bryan,1
Kacey Musgraves,1
Carrie Underwood,1
THERA,1
Molly Bergman,1
Sam Fischer,1
BANNERS,1
Tom Walker,1
Abby K,1
New West,1
Angus Quinn,1
Duncan Laurence,1
Vancouver Sleep Clinic,1
Shaboozey,1
Robbie Williams,1
Ellie Goulding,1
P!nk,1
Nate Ruess,1
The Goo Goo Dolls,1
Amber Run,1
Khalid,1
NF,1
