Free Genre,Counter
neo mellow,2
 pop rock,3
 pop,25
indie folk,7
 singer songwriter,2
 new americana,3
pop rock,7
 alt z,5
 post teen pop,5
 viral pop,3
 dance pop,3
 electropop,11
 indie poptimism,8
indie poptimism,2
 hopebeat,1
 stomp and holler,4
 indiecoustica,8
 neo mellow,10
 acoustic pop,6
gymcore,1
 post grunge,1
 alternative metal,1
 rock,8
 post screamo,1
 rap rock,1
 nu metal,1
 hard alternative,1
sertanejo pop,1
pop,4
 acoustic,1
 chill,2
country pop,5
 contemporary country,5
 anthem worship,3
americana,1
 alternative country,1
 indie folk,7
 folk,1
 folk rock,1
alt z,3
 indietronica,2
 indie electropop,1
viral pop,4
 channel pop,5
indie,18
 adult pop,2
 indie pop,7
lo-fi,1
 sad rap,1
 social media pop,1
 chill r & b,1
 acoustic cover,4
 indie rock,2
 grunge,2
alternative rock,1
 music,2
 alternative rock,1
 folk pop,1
 nightrun,1
 indie anthem folk,3
festigal,1
 eurovision,1
 alternative ccm,1
 alternative pop,2
 modern alternative pop,2
 singer-songwriter,1
indiecoustica,3
 roots worship,1
 indie,3
new wave pop,1
 dance,1
 europop,1
 eurodance,1
 shimmer pop,1
 chillwave,1
 modern rock,2
 alternative dance,1
pop r & b,1
 talent show,2
progressive house,1
 trance,1
 uplifting trance,1
 progressive trance,1
 mundart,1
indie pop,1
 worship,1
 roots,1
 modern alternative rock,1
 dance rock,1
folk,1
 punk,1
 indie punk,1
pop edm,1
 tropical house,2
 pop dance,2
 folk-pop,2
dance pop,2
 boy band,1
album rock,1
 art rock,1
 symphonic rock,1
 mellow gold,1
 classic rock,1
 glam rock,1
 beatlesque,1
 soft rock,1
 pop rap,2
 alternative r & b,1
 vapor soul,1
 art pop,1
indie triste,1
 hip hop,1
 trap,1
