Song_Name,Song_Link,Artist_Name,Stream_Count,Release Date,Musical_Era,Voice_Presence,Predominant_Voice_Gender,Genre_Tags,Sub_Genre_Tags,Free Genre,Description,Instrument_Tags,Emotional_Profile,Mood_Tags,Simple_Mood_Tags,Character_Tags,Movement_Tags,Energy,BPM,Key,Meter
How Do I Say Goodbye,5hnGrTBaEsdukpDF6aZg8a,Dean Lewis,550822700,2022-08-31,contemporary,high,male,"pop,folkCountry",folk,"neo mellow, pop rock, pop",a motivational anthem to get you up and dance! this is the all will be going to make it.,"bassGuitar,piano,strings,percussion,electricGuitar",balanced,"uplifting,soaring,inspirational,emotional,anthemic","energetic,uplifting,epic","epic,powerful,sparkling,cool,heroic,warm,unpolished",stomping,medium,80,ebMajor,4/4
Another Love,3JvKfv6T31zO0ini8iNItO,Tom Odell,2837081598,2013-06-24,late 1990s / early 2000s,high,male,"rock,pop,singerSongwriter","folkRock,indieAlternative,psychedelicProgressiveRock",,upbeat and energetic. refreshing acoustic indie with a bright array of guitars and harmonizing male vocals,"percussion,piano,electricGuitar,acousticGuitar,bassGuitar",balanced,"confident,motivational,determined,passionate,inspirational,anthemic,aweInspiring","energetic,epic",warm,stomping,high,123,gMajor,4/4
Lights Are On,4IhTXiZLKATmwhMZIb1GQN,Tom Rosenthal,464304555,2018-10-26,mid / late 2000s,high,female,"folkCountry,rock,singerSongwriter,pop","folk,folkRock","indie folk, singer songwriter, new americana","a delicate, emotional contemporary piano track. sweet, and innocent song, with a gorgeous female voice, cello, and viola da gamba accompaniment.","piano,acousticGuitar,bassGuitar",negative,"emotional,reflective,lonely,poignant,melancholic,nostalgic,thoughtful,bittersweet,sad,dreamy,introspective,intimate,delicate","sad,romantic,chilled",sparse,flowing,low,136,ebMajor,4/4
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,3756504625,2019-05-17,contemporary,high,male,pop,,"pop rock, alt z, post teen pop, viral pop, dance pop, electropop, indie poptimism, pop","emotive, heartfelt modern pop ballad with male vocals.","piano,synth",balanced,"emotional,inspirational,soaring,passionate,bittersweet,poignant,uplifting,hopeful","uplifting,energetic,epic",epic,"flowing,stomping,driving,pulsing,bouncy,steady,running",medium,110,dbMajor,4/4
Half A Man,1ugQtcwmKOXvKAYzhjncmv,Dean Lewis,459658061,2019-03-22,contemporary,high,male,"pop,rnb",,"indie poptimism, hopebeat, stomp and holler","emotive, heartfelt modern pop ballad with male vocals.","bassGuitar,piano,synth",balanced,"romantic,reflective,emotional,loving,warm,sentimental,nostalgic,intimate,bittersweet,hopeful","romantic,chilled",warm,"steady,flowing",medium,77,cMajor,4/4
Hold Me While You Wait,60iSKGrGazRzICtMjADNSM,Lewis Capaldi,860129829,2019-05-17,contemporary,high,male,pop,,"pop rock, alt z, electropop, indiecoustica, indie poptimism, neo mellow, pop","emotive, heartfelt modern pop ballad with male vocals.","bassGuitar,piano,synth,percussion,electricGuitar",positive,"anthemic,inspirational,emotional,soaring,uplifting,motivational,hopeful,aweInspiring,loving,passionate,euphoric","energetic,happy,uplifting",epic,"stomping,driving,pulsing",high,107,bMajor,4/4
Happiest Year,219slQu3ALbTSAe9P22hvE,Jaymes Young,517666456,2022-01-28,contemporary,high,female,"pop,rock,singerSongwriter,folkCountry",folkRock,,a touching and feel good mid tempo pop ballad,acousticGuitar,negative,"emotional,sad,thoughtful,bittersweet,reflective,nostalgic,solemn,poignant,melancholic,spiritual,blue,lonely,introspective,concerned","calm,chilled,romantic,sad,ethereal",epic,flowing,low,61,dbMajor,4/4
Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt,Sam Smith,2216165561,2014-05-26,contemporary,high,male,"rnb,pop",,"indie folk, stomp and holler, new americana, indiecoustica, acoustic pop",a soulful pop ballad. featuring heartfelt male vocals.,"bassGuitar,piano,synth,percussion,electricGuitar",positive,"inspirational,bittersweet,emotional,soaring,confident","calm,uplifting,ethereal",cool,"stomping,flowing",medium,85,cMajor,4/4
Before You Go - Guitar Acoustic,27829SWtwhWUANViVTEpol,Lewis Capaldi,58892944,2020-01-24,contemporary,high,male,pop,,"gymcore, post grunge, alternative metal, rock, post screamo, rap rock, nu metal, hard alternative","acoustic pop song, male vocal.",acousticGuitar,balanced,"bittersweet,uplifting,warm,positive,reflective","happy,romantic,chilled",warm,steady,medium,112,ebMajor,4/4
Love In The Dark,0DuWDLjriRPjDRoPgaCslY,Adele,898340482,2015-11-20,contemporary,high,female,pop,,,a rousing inspirational tale with a cinematic edge,,negative,"emotional,thoughtful,sad,bittersweet,solemn,reflective,poignant,spiritual,concerned","calm,chilled,romantic,sad,ethereal",warm,flowing,low,110,cMajor,4/4
Bruises,4Of7rzpRpV1mWRbhp5rAqG,Lewis Capaldi,1231558515,2019-05-17,late 2000s / contemporary,high,male,pop,,sertanejo pop,uplifting pop song. featuring male vocal.,"bassGuitar,piano,percussion",positive,"uplifting,passionate,confident,bittersweet,inspirational",energetic,cool,stomping,high,111,eMajor,4/4
You're All Around Me,6VlecSzD19xqf70k98KKYT,Mathew V,798011,2024-08-23,contemporary,high,male,"pop,folkCountry,rnb",country,"pop, acoustic, chill","acoustic guitar and male vocals, with a message of hope.","acousticGuitar,bassGuitar,piano,strings",balanced,"emotional,reflective,sentimental,hopeful,loving,warm,nostalgic,bittersweet,poignant,intimate,tender,sad,melancholic,lonely,soaring","romantic,calm,chilled",warm,flowing,low,93,aMajor,4/4
Where's My Love,1B62o4CbdL9ckGvwsz2cgn,SYML,753345353,2019-05-03,late 2000s / contemporary,none,none,"pop,rock,folkCountry,singerSongwriter",folkRock,,folky acoustic guitar and warm female vocal open this contemplative cue featuring gentle piano chords and subtle percussion,"percussion,acousticGuitar",balanced,"warm,romantic,dreamy,tender,calm,sentimental,soft,reflective,hopeful,serene,quiet,leisurely,nostalgic,loving,soothing,sweet,graceful,contented,tranquil,lyrical,delicate","calm,chilled,romantic,sad,ethereal","sophisticated,warm,ethereal","pulsing,flowing",low,104,ebMajor,4/4
Get You The Moon (feat. Snøw),4ZLzoOkj0MPWrTLvooIuaa,"Kina, Snøw",1074561053,2018-10-08,mid / late 2000s,high,female,"funkSoul,rnb",neoSoul,,intimate and lyrical piano and synth opening leads to a strong female vocal trap beat and lush synth pads. the sound of a young love song,"percussion,synth,bass",negative,"thoughtful,bittersweet,dreamy,reflective,spiritual","calm,chilled,romantic,sad,ethereal","sparkling,ethereal",flowing,low,120,csMinor,4/4
Forever,12OLyHDxt6dqlAybSPFBK3,Lewis Capaldi,358537856,2019-05-17,contemporary,high,male,pop,,"pop rock, alt z, electropop, indiecoustica, indie poptimism, neo mellow, pop",uplifting pop song. featuring male vocal. heartfelt lyrics.,"acousticGuitar,bassGuitar,piano,synth,percussion",positive,"uplifting,inspirational,hopeful,emotional,passionate","uplifting,energetic,happy","warm,cool,heroic,epic,sparkling,powerful",stomping,medium,170,dbMajor,4/4
Hold On,5vjLSffimiIP26QG5WcN2K,Chord Overstreet,930444994,2017-02-03,contemporary,high,male,folkCountry,country,"country pop, contemporary country","emotive, heartfelt modern pop ballad with male vocals.","acousticGuitar,bassGuitar,piano,synth,percussion,electricGuitar",balanced,"emotional,soaring,reflective,bittersweet,uplifting","energetic,epic,chilled",epic,stomping,medium,120,dMajor,4/4
Rest (with Sasha Alex Sloan),0eUoazaVUu4Y83USuUTz7P,"Dean Lewis, Sasha Alex Sloan",14015692,2024-08-09,contemporary,high,female,pop,,"pop, anthem worship","heartfelt, emotional pop ballad with piano and female vocals.","acousticGuitar,bassGuitar,piano,percussion,electricGuitar",balanced,"hopeful,emotional,uplifting,warm,loving,reflective,inspirational,bittersweet,romantic,sentimental","romantic,calm,chilled",warm,flowing,low,124,dMajor,4/4
Already Gone,5zCunX8URvLoBHlg1Fnjv6,Sleeping At Last,315165744,2016-11-04,contemporary,high,male,"pop,rock,singerSongwriter","folk,folkRock,indieAlternative,popSoftRock",,a touching and feel good mid tempo pop ballad,"acousticGuitar,bassGuitar",balanced,"reflective,thoughtful,nostalgic,emotional,bittersweet,sad,solemn,spiritual,sentimental,introspective,quiet,blue,calm,melancholic,poignant","calm,chilled,romantic,sad,ethereal",warm,flowing,low,134,ebMajor,4/4
