Song_Name,Song_Link,Artist_Name,Stream_Count,Release Date,Composer Nmae,Original Song Estimate
Someone You Loved - Piano Version,5gfVUrKzYPQ8wocsJZinPY,Flying Fingers,22889078,2020-07-17,"Benjamin Kohn, Pete Kelleher, Tom Barnes, Lewis Capaldi & Sam Roman",{'spotify': 'https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf'}
Easy On Me - Piano Version,5icRNxZpNHSzzYyoIkyCdt,Flying Fingers,17026595,2021-10-20,Adele Adkins & Greg Kurstin,{'spotify': 'https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds'}
Blinding Lights - Piano Version,0ozyv9adSVDED8Emhd8hfu,"Flying Fingers, Piano Tribute Players",19243140,2020-04-17,"Max Martin, Abel Tesfaye, Ahmad Balshe, Oscar Holter & Jason 'Daheala' Quenneville",{'spotify': 'https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b'}
As It Was - Piano Version,4x3yFZ4rpXO5M34DtTTatl,Flying Fingers,12565967,2022-05-13,"Tyler Johnson, Thomas Edward Percy Hull & Harry Edward Styles",{'spotify': 'https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e'}
Flowers - Piano Version,2C371N90itMqLqgKLXeUbM,Flying Fingers,9559204,2023-02-24,"Michael Ross Pollack, Gregory ""Aldae"" Hein & Miley Cyrus",{'spotify': 'https://open.spotify.com/track/7DSAEUvxU8FajXtRloy8M0'}
Someone Like You,6R4Btdwl7xTsxquilaVkIw,Henry Smith,20872388,2018-04-02,Adele Adkins & Dan Wilson,{'spotify': 'https://open.spotify.com/track/3bNv3VuUOKgrf5hu3YcuRo'}
Running Up That Hill (A Deal With God) - Piano Version,3k7XdOax96YAFfQ9Io5s9M,Henry Smith,13171452,2022-07-22,Kate Bush,{'spotify': 'https://open.spotify.com/track/3srCbzeE3z0LupnOpdwh4h'}
Yellow - Piano Version,6HHh1rF5PNOzbsWVcMxAkC,Henry Smith,11107965,2022-02-25,"Jonathan Mark Buckland, Will Champion, Guy Rupert Berryman & Christopher Anthony John Martin",{'spotify': 'https://open.spotify.com/track/3e6PsN3KCWRp6NGKN9F9pA'}
Shallow - Piano Version,6ABxVXhGdXhu5rE5KmjIt6,Henry Smith,15390529,2019-11-22,"Anthony Rossomando, Mark Ronson, Stefani Germanotta & Andrew Wyatt",{'spotify': 'https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B'}
Take On Me - Piano Version,0irZoDuUbcZURi4Sk7rz9P,Henry Smith,9327132,2022-12-14,"Päl Waaktar-Garnst, Magne Furuholmen & Morten Harket",{'spotify': 'https://open.spotify.com/track/0we6XDJvku1HtjiAy4qvlu'}
What Was I Made For? - Piano Version,0ELGKtNSHKPlrrITjXCQQ0,Relaxing Piano Covers,4541117,2023-08-11,Relaxing Piano Covers,{'spotify': 'https://open.spotify.com/track/1hKzByKjSCpyYT8MNgtdEL'}
Fortnight - Piano Version,4L72mjxSYuUdGtLKLJw7lT,Relaxing Piano Covers,882284,2024-05-31,Relaxing Piano Covers,{'spotify': 'https://open.spotify.com/track/1gejz5ROvJBUb6WJzkMAcc'}
This Love - Piano Version,0h7b8iOT72U88SBPOuztnr,Relaxing Piano Covers,1537984,2022-07-08,Taylor Swift,{'spotify': 'https://open.spotify.com/track/5QVVjX0ZItqlVpEuVCM9Yg'}
Glimpse of Us - Piano Version,6fbB2gnvs5LWXj7RVaFmPr,Relaxing Piano Covers,2154196,2022-09-09,Joji,{'spotify': 'https://open.spotify.com/track/2mlNgAeIBnL78ZriXgrRHz'}
